step,total,ranking,flops_q,flops_d,lambda
3500,11.620861053466797,11.5400390625,43.354209899902344,187.56495666503906,0.00035
3600,11.96334457397461,11.88665771484375,45.15725326538086,167.863037109375,0.00035999999999999997
3700,14.910594940185547,14.841263771057129,42.831905364990234,144.54788208007812,0.00037
3800,14.749777793884277,14.685115814208984,43.932823181152344,126.2314453125,0.00038
3900,11.902753829956055,11.834310531616211,43.18316650390625,132.312255859375,0.00039000000000000005
4000,11.27198600769043,11.197747230529785,41.63246154785156,143.96400451660156,0.0004
4100,12.564607620239258,12.488707542419434,40.78643035888672,144.33428955078125,0.00041
4200,17.264619827270508,17.176773071289062,41.26921844482422,167.88694763183594,0.00042
4300,9.955162048339844,9.890289306640625,38.803733825683594,112.06283569335938,0.00043
4400,17.581201553344727,17.514644622802734,38.94041442871094,112.32733154296875,0.00044
4500,10.719250679016113,10.634027481079102,39.714237213134766,149.66983032226562,0.00045000000000000004
4600,7.856342792510986,7.77276611328125,41.295379638671875,140.39321899414062,0.00046
4700,16.14105987548828,16.06062126159668,38.985382080078125,132.15956115722656,0.00047
4800,13.7583646774292,13.674161911010742,38.99671173095703,136.42454528808594,0.00048
4900,18.257261276245117,18.166765213012695,41.250083923339844,143.43478393554688,0.00049
5000,10.89412784576416,10.818848609924316,39.20214080810547,111.35667419433594,0.0005
5100,9.025984764099121,8.907262802124023,41.631378173828125,191.1566162109375,0.00051
5200,8.911032676696777,8.79041576385498,41.503360748291016,190.45306396484375,0.0005200000000000001
5300,10.244736671447754,10.146339416503906,43.294395446777344,142.36099243164062,0.0005300000000000001
5400,17.151710510253906,17.067583084106445,42.2701530456543,113.52085876464844,0.00054
5500,10.178528785705566,10.063575744628906,41.23866271972656,167.76625061035156,0.00055
5600,11.85727596282959,11.742157936096191,41.62367630004883,163.9439239501953,0.0005600000000000001
5700,11.269631385803223,11.162321090698242,40.19366455078125,148.06982421875,0.00057
5800,11.268035888671875,11.124292373657227,41.03288650512695,206.80076599121094,0.00058
5900,14.71098804473877,14.599700927734375,39.084815979003906,149.5374755859375,0.00059
6000,12.719648361206055,12.568699836730957,39.52082824707031,212.0604705810547,0.0006
6100,13.029573440551758,12.90665340423584,39.40278244018555,162.1052703857422,0.00061
6200,12.930818557739258,12.824840545654297,40.72776412963867,130.2041015625,0.00062
6300,12.87981128692627,12.74267864227295,40.362648010253906,177.307861328125,0.00063
6400,20.943586349487305,20.831584930419922,39.764434814453125,135.23580932617188,0.00064
6500,10.59090805053711,10.472973823547363,38.367733001708984,143.07064819335938,0.0006500000000000001
6600,15.550715446472168,15.443208694458008,39.33704376220703,123.55082702636719,0.00066
6700,20.2083797454834,20.084274291992188,40.081565856933594,145.1482391357422,0.00067
6800,12.221297264099121,12.057357788085938,39.70762634277344,201.37936401367188,0.00068
6900,12.096590042114258,11.970078468322754,41.658878326416016,141.69131469726562,0.00069
7000,12.105201721191406,11.958026885986328,39.88599395751953,170.36474609375,0.0007
7100,12.653838157653809,12.544150352478027,38.8228759765625,115.66728210449219,0.00071
7200,13.543787956237793,13.385993957519531,37.437286376953125,181.7216033935547,0.0007199999999999999
7300,15.156557083129883,15.038396835327148,36.785972595214844,125.07772064208984,0.00073
7400,9.962701797485352,9.852216720581055,38.30567169189453,110.99879455566406,0.00074
7500,9.179312705993652,9.060733795166016,35.0916748046875,123.01431274414062,0.00075
7600,5.947341442108154,5.824535846710205,35.18264389038086,126.40373229980469,0.00076
7700,10.063332557678223,9.903093338012695,35.329750061035156,172.774169921875,0.0007700000000000001
